year,tourney_name,surface,winner_name,loser_name,w_svWon%,w_1stRnWon%,w_2ndRnWon%,l_svWon%,l_1stRnWon%,l_2ndRnWon%
2003,Roland Garros,0,Lleyton Hewitt,Brian Vahaly,0.634782609,0.495238095,0.508474576,0.5,0.203703704,0.574074074
2003,Roland Garros,0,Nikolay Davydenko,Greg Rusedski,0.673684211,0.354166667,0.552631579,0.558139535,0.283333333,0.233333333
2003,Roland Garros,0,Jonas Bjorkman,Max Mirnyi,0.725,0.227272727,0.756756757,0.530864198,0.268292683,0.268292683
2003,Roland Garros,0,Tommy Robredo,Giovanni Lapentti,0.554545455,0.351351351,0.5,0.5859375,0.346153846,0.282051282
2003,Roland Garros,0,Gaston Gaudio,Paul Henri Mathieu,0.688888889,0.209302326,0.571428571,0.597826087,0.2,0.36
2003,Roland Garros,0,Olivier Mutis,Jerome Golmard,0.710280374,0.359375,0.575757576,0.530769231,0.169811321,0.41509434
2003,Roland Garros,0,Hicham Arazi,Raemon Sluiter,0.64957265,0.37704918,0.516129032,0.552845528,0.235294118,0.367647059
2003,Roland Garros,0,Gustavo Kuerten,Marc Rosset,0.673469388,0.180555556,0.611940299,0.611510791,0.202702703,0.445945946
2003,Roland Garros,0,Albert Costa,Sergio Roitman,0.632911392,0.340659341,0.577464789,0.555555556,0.285714286,0.232142857
2003,Roland Garros,0,Radek Stepanek,Wayne Arthurs,0.719298246,0.315068493,0.590163934,0.559701493,0.265060241,0.120481928
2003,Roland Garros,0,Nicolas Lapentti,Richard Gasquet,0.653846154,0.315789474,0.56097561,0.556962025,0.2,0.475
2003,Roland Garros,0,Franco Squillari,Agustin Calleri,0.672897196,0.283333333,0.531914894,0.607476636,0.265625,0.28125
2003,Roland Garros,0,Arnaud Clement,Thomas Enqvist,0.613636364,0.367346939,0.62745098,0.5,0.279069767,0.511627907
2003,Roland Garros,0,Lars Burgsmuller,Mardy Fish,0.713043478,0.225806452,0.567164179,0.596899225,0.222222222,0.236111111
2003,Roland Garros,0,Nicolas Coutelot,Davide Sanguinetti,0.730769231,0.345454545,0.56097561,0.5625,0.102040816,0.326530612
2003,Roland Garros,0,David Nalbandian,Albert Montanes,0.586466165,0.289473684,0.714285714,0.53030303,0.28,0.453333333
2003,Roland Garros,0,Juan Carlos Ferrero,Michel Kratochvil,0.642105263,0.378787879,0.479166667,0.578947368,0.270833333,0.4375
2003,Roland Garros,0,Nicolas Massu,Magnus Norman,0.684931507,0.383333333,0.625,0.491935484,0.25,0.272727273
2003,Roland Garros,0,Todd Martin,Jose Acasuso,0.6875,0.328767123,0.660714286,0.527131783,0.188679245,0.377358491
2003,Roland Garros,0,Tim Henman,Vladimir Voltchkov,0.666666667,0.489361702,0.62962963,0.459459459,0.196078431,0.352941176
2003,Roland Garros,0,Felix Mantilla,Hyung Taik Lee,0.589147287,0.43902439,0.5,0.543103448,0.357142857,0.183673469
2003,Roland Garros,0,Federico Browne,Olivier Rochus,0.691666667,0.45,0.416666667,0.5625,0.24137931,0.183908046
2003,Roland Garros,0,Fernando Vicente,Alexander Waske,0.575949367,0.295774648,0.492063492,0.611940299,0.253012048,0.554216867
2003,Roland Garros,0,Sebastien Grosjean,Adrian Voinea,0.575539568,0.486111111,0.422535211,0.545454545,0.318181818,0.575757576
2003,Roland Garros,0,Sjeng Schalken,Scott Draper,0.615384615,0.393939394,0.52173913,0.553571429,0.36,0.24
2003,Roland Garros,0,Fabrice Santoro,Michael Chang,0.666666667,0.425531915,0.613636364,0.483516484,0.269230769,0.269230769
2003,Roland Garros,0,Albert Portas,Thierry Ascione,0.557522124,0.509090909,0.666666667,0.457142857,0.380952381,0.214285714
2003,Roland Garros,0,Fernando Gonzalez,Jan Michael Gambill,0.723076923,0.395348837,0.666666667,0.481012658,0.239130435,0.152173913
2003,Roland Garros,0,Jarkko Nieminen,Nicolas Escude,0.636363636,0.246376812,0.578125,0.593984962,0.294642857,0.205357143
2003,Roland Garros,0,Julien Varlet,Kenneth Carlsen,0.680327869,0.338028169,0.527272727,0.579365079,0.30952381,0.154761905
2003,Roland Garros,0,Victor Hanescu,Michael Llodra,0.710144928,0.357142857,0.722222222,0.5,0.25,0.204545455
2003,Roland Garros,0,Sargis Sargsian,Andy Roddick,0.731481481,0.306451613,0.561403509,0.571428571,0.161764706,0.264705882
2003,Roland Garros,0,Luis Horna,Roger Federer,0.675675676,0.237288136,0.590909091,0.611650485,0.302325581,0.11627907
2003,Roland Garros,0,Martin Verkerk,Zeljko Krajan,0.731707317,0.413043478,0.37037037,0.602739726,0.212765957,0.255319149
2003,Roland Garros,0,John Van Lottum,Dick Norman,0.588607595,0.393617021,0.435483871,0.58974359,0.2875,0.525
2003,Roland Garros,0,Vincent Spadea,Irakli Labadze,0.602836879,0.361904762,0.684210526,0.524691358,0.325,0.375
2003,Roland Garros,0,Wayne Ferreira,Tomas Behrend,0.765432099,0.346153846,0.540540541,0.573033708,0.1,0.375
2003,Roland Garros,0,David Ferrer,Jurgen Melzer,0.688172043,0.382978723,0.5,0.563218391,0.296296296,0.240740741
2003,Roland Garros,0,Jean Rene Lisnard,Mariano Delfino,0.605042017,0.46,0.461538462,0.539473684,0.344262295,0.426229508
2003,Roland Garros,0,Rainer Schuettler,Cecil Mamiit,0.6,0.479166667,0.519230769,0.5,0.380952381,0.285714286
2003,Roland Garros,0,Jiri Novak,Julien Benneteau,0.689189189,0.463414634,0.576923077,0.492537313,0.24,0.22
