year,surface,2ndRnWon%,svWon%,1stRnWon%,outcome,2ndRnWon%player_w,2ndRnWon%player_l,2ndRnWon%opponent_w,2ndRnWon%opponent_l,2ndRnWon%playerCommon_w,2ndRnWon%playerCommon_l,2ndRnWon%opponentCommon_w,2ndRnWon%opponentCommon_l,2ndRnWon%pVariance_w,2ndRnWon%pVariance_l,2ndRnWon%oVariance_w,2ndRnWon%oVariance_l,2ndRnWon%pCommonVar_w,2ndRnWon%pCommonVar_l,2ndRnWon%oCommonVar_w,2ndRnWon%oCommonVar_l,1stRnWon%player_w,1stRnWon%player_l,1stRnWon%opponent_w,1stRnWon%opponent_l,1stRnWon%playerCommon_w,1stRnWon%playerCommon_l,1stRnWon%opponentCommon_w,1stRnWon%opponentCommon_l,1stRnWon%pVariance_w,1stRnWon%pVariance_l,1stRnWon%oVariance_w,1stRnWon%oVariance_l,1stRnWon%pCommonVar_w,1stRnWon%pCommonVar_l,1stRnWon%oCommonVar_w,1stRnWon%oCommonVar_l,svWon%player_w,svWon%player_l,svWon%opponent_w,svWon%opponent_l,svWon%playerCommon_w,svWon%playerCommon_l,svWon%opponentCommon_w,svWon%opponentCommon_l,svWon%pVariance_w,svWon%pVariance_l,svWon%oVariance_w,svWon%oVariance_l,svWon%pCommonVar_w,svWon%pCommonVar_l,svWon%oCommonVar_w,svWon%oCommonVar_l
2008,0,0.254901961,0.568181818,0.215686275,0,0.511090157,0.290089744,0.570133116,0.267825485,0.498527005,0.222863175,0.539582862,0.330723917,0.013696962,0.019920294,0.008649473,0.005075984,8.40E-05,0.015219573,0.001313806,0.001710515,0.311942001,0.232619313,0.376190889,0.267307891,0.300046882,0.19408899,0.364715046,0.247712898,0.001702366,0.008850513,0.009021645,0.004915135,1.41E-05,0.004849577,0.004080684,0.003735118,0.697038188,0.540132725,0.684230215,0.588471469,0.736031106,0.518595679,0.651171987,0.576460425,0.0030552,0.006181414,0.004905563,0.004160714,0.003435337,0.01074105,0.005933488,0.003564495
2008,0,0.254237288,0.549019608,0.271186441,0,0.553182705,0.301628209,0.566194966,0.283013161,0.54850139,0.209679487,0.548962851,0.273086203,0.00425457,0.02061696,0.007862321,0.009010774,0.00492681,0.006065763,0.021109479,0.000213658,0.350819507,0.255964213,0.361342266,0.256438775,0.350715488,0.202051282,0.377650777,0.327475427,0.006101434,0.005794178,0.002424956,0.002942316,0.006478808,0.005586029,0.003250588,0.001167436,0.663359147,0.55847182,0.677962823,0.588073549,0.724578193,0.521630037,0.67756546,0.581266558,0.003284521,0.003823007,0.002499318,0.001486999,0.000705584,0.004221793,0.003033662,0.000184508
2008,0,0.538461538,0.666666667,0.3,1,0.581096599,0.303329051,0.558115949,0.237149579,0.647826087,0.224489796,0.5,0.264005602,0.003205825,0.010708061,0.009600276,0.00552527,0.002287335,0,0,0.013676549,0.375331067,0.21153299,0.303785403,0.258456457,0.475,0.142857143,0.288659794,0.303571429,0.006485632,0.00756761,0.003173592,0.002841377,0.005625,0,0,0.000885771,0.663755161,0.575610483,0.652142505,0.574250096,0.663974592,0.666666667,0.666666667,0.543347064,0.003523357,0.003095746,0.002140866,0.002993134,0.001842295,0,0,8.28E-05
2008,0,0.173913043,0.508333333,0.260869565,0,0.563495477,0.267586744,0.511598441,0.207086977,0.547619048,0.172413793,0.611111111,0.097560976,0.013585607,0.006540784,0.005044876,0.014892784,0,0,0,0,0.354553314,0.272451032,0.324724349,0.21368308,0.301587302,0.318965517,0.328571429,0.317073171,0.008139902,0.003831868,0.00543656,0.008111986,0,0,0,0,0.679110952,0.586515652,0.745657813,0.555745203,0.620155039,0.638554217,0.718446602,0.475,0.002981929,0.001460205,0.000680071,0.003484132,0,0,0,0
2008,0,0.195121951,0.644295302,0.207317073,0,0.551013567,0.283871919,0.514477896,0.243693003,0.526198439,0.366235632,0.472222222,0.214992194,0.001772852,0.013140729,0.005217309,0.00937638,0.001522479,0.02859472,0,0.009153412,0.357517455,0.212753554,0.343032719,0.202469457,0.419462095,0.181465517,0.345238095,0.222534753,0.004390727,0.003485111,0.004064762,0.004245361,0.001868355,0.00034941,0,0.006743648,0.626630701,0.570707139,0.701660464,0.582141675,0.650564713,0.546228778,0.664,0.574121919,0.001137787,0.008535067,0.002140987,0.005011949,4.90E-06,0.00632006,0,0.002327867
2008,0,0.571428571,0.75,0.319148936,1,0.564907118,0.329749425,0.553421002,0.248215452,0.558380019,0.378823529,0.54276846,0.314285714,0.002223304,0.025559544,0.007321526,0.005079789,0.000513932,0.030073356,0.002592879,0,0.341867844,0.240564774,0.31466158,0.239091863,0.311800652,0.1708061,0.287092003,0.219047619,0.007501947,0.010345593,0.012972501,0.004798318,0.002138483,0.000426427,0.000639078,0,0.677566032,0.593044463,0.661422718,0.607225372,0.704115437,0.570879631,0.673416518,0.620689655,0.002084597,0.004023491,0.002430098,0.001674724,0.003036777,0.000443937,0.002410496,0
2008,0,0.298245614,0.557692308,0.228070175,0,0.581914906,0.306733895,0.550854392,0.314269953,0.515086207,0.317316098,0.485930736,0.285827947,0.007338538,0.010336738,0.00441259,0.012595021,0.019624145,0.010777645,0.001289175,0.012062179,0.338688006,0.242936777,0.330802026,0.248189073,0.366116062,0.225081177,0.369501466,0.219579115,0.005615961,0.004728968,0.003511104,0.005983597,0.004069225,0.00303944,0.003189744,0.010027529,0.67533749,0.551110905,0.677875968,0.541990997,0.684811828,0.548753839,0.690071752,0.536128742,0.002757011,0.003815726,0.002741333,0.00520614,0.000553261,0.003851774,0.001218881,0.007056983
2008,0,0.519230769,0.754545455,0.409638554,1,0.545779096,0.21724201,0.552353032,0.263232862,0.513618928,0.217084678,0.5,0.263347065,0.007716029,0.007745831,0.011654513,0.011503556,0.008035257,0.006897993,0,0.014636509,0.369684707,0.318742515,0.303115066,0.18789553,0.354911926,0.324957033,0.230769231,0.206003794,0.00737189,0.001448576,0.009360319,0.002842709,0.006419021,0.001775301,0,0.00248745,0.716606126,0.601707884,0.716896574,0.53029692,0.690718942,0.598581046,0.663157895,0.514712202,0.002964331,0.001879671,0.003323711,0.005814699,0.000653133,0.002467014,0,0.003324374
2008,0,0.571428571,0.666666667,0.37704918,1,0.528472637,0.245691833,0.572107713,0.215151281,0.43294031,0.251382979,0.53125,0.279542921,0.003301314,0.006540244,0.010398083,0.00446953,0.001733553,0.001491274,0,0.00010634,0.283162668,0.259051818,0.430058105,0.210159227,0.347058824,0.253297872,0.441860465,0.149386845,0.004982557,0.00120776,0.001201835,0.008754118,0.002802768,0.000542791,0,1.99E-05,0.709836469,0.569474912,0.594124309,0.557599668,0.629672006,0.60520362,0.582781457,0.569847516,0.003295497,0.003535141,0.001195848,0.001375938,0.000796523,6.97E-06,0,8.28E-05
2008,0,0.541666667,0.68852459,0.304878049,1,0.568828776,0.322905192,0.53193473,0.274646766,0.535029447,0.258066239,0.513636364,0.246139373,0.007013509,0.010794912,0.006893808,0.012477811,0.002057717,0.004744694,0.005254056,0.003437761,0.35927817,0.256882003,0.383059472,0.266076886,0.335108356,0.233547009,0.403581006,0.239881507,0.007832657,0.002888973,0.004210447,0.007533588,0.006757647,0.001182473,0.007487193,0.003190381,0.683759971,0.576869236,0.656882474,0.582370422,0.674173629,0.53562233,0.634396016,0.608667737,0.002835942,0.003828873,0.000942941,0.003444957,0.001587401,0.006099773,0.000858678,0.002782353
